Corridor,LPA,MetroID,Notes,OBJECTID,Type,coordinates,stop_id,stop_lat,stop_lon,stop_name
N,,1922.0,Configuration of NTP to be determined,287,alt,"[-89.36348261772456, 43.113766223751725]",42004.0,43.11376622,-89.36348262,SB RELOCATED NORTH TRANSFER POINT
N,,1156.0,Number system skips 002 in case stop added south of Commercial.,288,alt,"[-89.36397397390863, 43.10703205048498]",42003.0,43.10703205,-89.36397397,SB N SHERMAN ns COMMERCIAL
N,,,Relo to far side,289,alt,"[-89.36377254512301, 43.09360096463133]",42001.0,43.09360097,-89.36377255,SB FORDEM fs JOHNSON
S,,546.0,,290,main,"[-89.40109496698649, 43.06735205874142]",31002.0,43.06735206,-89.40109497,SB S PARK fs REGENT 
S,,840.0,,291,main,"[-89.40094096825995, 43.06292905972144]",31003.0,43.06292906,-89.40094097,SB S PARK fs VILAS 
S,,288.0,,292,main,"[-89.40096796778724, 43.05966705967988]",31004.0,43.05966706,-89.40096797,SB S PARK fs ERIN 
S,,360.0,Relo from near side Midland,293,main,"[-89.39637497057782, 43.05364606065821]",31005.0,43.05364606,-89.39637497,SB S PARK fs OLIN
S,,124.0,Relo to near side,294,main,"[-89.39423697073532, 43.04951806089457]",31006.0,43.04951806,-89.39423697,SB S PARK ns WINGRA
S,,730.0,New stop,295,main,"[-89.39423197139624, 43.045855062023776]",31007.0,43.04585506,-89.39423197,SB S PARK op BRAM
S,,906.0,,296,main,"[-89.39420097197902, 43.04156006290756]",31008.0,43.04156006,-89.39420097,SB S PARK fs BUICK 
S,,4100.0,Configuration of STP to be determined,297,main,"[-89.39473897258699, 43.039543062749736]",31009.0,43.03954306,-89.39473897,SB SOUTH TRANSFER POINT
S,,782.0,"Relo to far side Catalpa, add bus bulb",298,main,"[-89.40309997018363, 43.03865206331716]",31010.0,43.03865206,-89.40309997,WB BADGER ns FISH HATCHERY
S,,4622.0,,299,main,"[-89.40951796838819, 43.03111306539519]",31011.0,43.03111307,-89.40951797,SB FISH HATCHERY fs GREENWAY 
S,,4752.0,,300,main,"[-89.41307096847545, 43.02627306618252]",31012.0,43.02627307,-89.41307097,SB FISH HATCHERY fs POST 
S,,4699.0,Layover,301,main,"[-89.42024196695267, 43.02031906792485]",31013.0,43.02031907,-89.42024197,SB CAHILL ns CADDIS
S,,4707.0,,302,main,"[-89.41900996654842, 43.019425067954515]",32013.0,43.01942507,-89.41900997,NB S FISH HATCHERY fs CADDIS 
S,,4523.0,Relo closer to intersection,303,main,"[-89.4122009686442, 43.026849066218645]",32012.0,43.02684907,-89.41220097,NB FISH HATCHERY fs POST
S,,4443.0,,304,main,"[-89.4084352747614, 43.03199182899235]",32011.0,43.03199183,-89.40843527,NB FISH HATCHERY fs GREENWAY
S,,353.0,Add bus bulb,305,main,"[-89.40307197002534, 43.038558063952124]",32010.0,43.03855806,-89.40307197,EB BADGER ns CATALPA 
S,,4100.0,Configuration of STP to be determined,306,main,"[-89.39495597238098, 43.038928062816346]",32009.0,43.03892806,-89.39495597,NB SOUTH TRANSFER POINT
S,,475.0,,307,main,"[-89.39383597155879, 43.04203806235001]",32008.0,43.04203806,-89.39383597,NB S PARK fs BUICK
S,,703.0,New stop,308,main,"[-89.39388997214927, 43.04592106188533]",32007.0,43.04592106,-89.39388997,NB S PARK at BRAM
S,,745.0,,309,main,"[-89.39392497187404, 43.04942006157134]",32006.0,43.04942006,-89.39392497,NB S PARK fs WINGRA 
S,,107.0,,310,main,"[-89.39662597039221, 43.05440906018586]",32005.0,43.05440906,-89.39662597,NB S PARK fs OLIN 
S,,251.0,,311,main,"[-89.40061296845197, 43.060117059982765]",32004.0,43.06011706,-89.40061297,NB S PARK fs ERIN 
S,,217.0,,312,main,"[-89.400623967805, 43.06373405897103]",32003.0,43.06373406,-89.40062397,NB S PARK fs WEST WASH 
S,,115.0,,313,main,"[-89.40074296770494, 43.06805505870944]",32002.0,43.06805506,-89.40074297,NB N PARK fs REGENT 
W,,,"Construct new stops, platforms, and ped access, may be infeasible.",314,main,"[-89.42052872643968, 43.07399000543875]",51001.0,43.07399001,-89.42052873,WB CAMPUS at CHAMBERLAIN
W,1.0,2698.0,,315,main,"[-89.43459037439612, 43.07389150222512]",51002.0,43.0738915,-89.43459037,WB UNIV AVE fs U BAY 
